Date,"Betelgeuse"
2019-09-24,1325
2019-09-25,1309
2019-09-26,1226
2019-09-27,1291
2019-09-28,1169
2019-09-29,1367
2019-09-30,1588
2019-10-01,1957
2019-10-02,2217
2019-10-03,1769
2019-10-04,1528
2019-10-05,1412
2019-10-06,1772
2019-10-07,1493
2019-10-08,1611
2019-10-09,1439
2019-10-10,1684
2019-10-11,1339
2019-10-12,1222
2019-10-13,1414
2019-10-14,1431
2019-10-15,1360
2019-10-16,1522
2019-10-17,1385
2019-10-18,1337
2019-10-19,1491
2019-10-20,1506
2019-10-21,1737
2019-10-22,2157
2019-10-23,1611
2019-10-24,1454
2019-10-25,1514
2019-10-26,1467
2019-10-27,1886
2019-10-28,1814
2019-10-29,1626
2019-10-30,1824
2019-10-31,2076
2019-11-01,2372
2019-11-02,1366
2019-11-03,1399
2019-11-04,1353
2019-11-05,1576
2019-11-06,1467
2019-11-07,1368
2019-11-08,1324
2019-11-09,1200
2019-11-10,1769
2019-11-11,1460
2019-11-12,1451
2019-11-13,1250
2019-11-14,1238
2019-11-15,1179
2019-11-16,1103
2019-11-17,1238
2019-11-18,1396
2019-11-19,1143
2019-11-20,1421
2019-11-21,1337
2019-11-22,1315
2019-11-23,1074
2019-11-24,1285
2019-11-25,1313
2019-11-26,1475
2019-11-27,1220
2019-11-28,1550
2019-11-29,1396
2019-11-30,1392
2019-12-01,1316
2019-12-02,1310
2019-12-03,1173
2019-12-04,1260
2019-12-05,1264
2019-12-06,1229
2019-12-07,1226
2019-12-08,1266
2019-12-09,1412
2019-12-10,1640
2019-12-11,1504
2019-12-12,1437
2019-12-13,1289
2019-12-14,1115
2019-12-15,1539
2019-12-16,1604
2019-12-17,1845
2019-12-18,1457
2019-12-19,1413
2019-12-20,1591
2019-12-21,2621
2019-12-22,3978
2019-12-23,5669
2019-12-24,6268
2019-12-25,5797
2019-12-26,12345
2019-12-27,23229
2019-12-28,16818
2019-12-29,11963
2019-12-30,14592
2019-12-31,11856
2020-01-01,14323
2020-01-02,15321
2020-01-03,9957
2020-01-04,11877
2020-01-05,11550
2020-01-06,10105
2020-01-07,8439
2020-01-08,6369
2020-01-09,6067
2020-01-10,6194
2020-01-11,5057
2020-01-12,6572
2020-01-13,6403
2020-01-14,7950
2020-01-15,12523
2020-01-16,9075
2020-01-17,7706
2020-01-18,6468
2020-01-19,5902
2020-01-20,6058
2020-01-21,6956
2020-01-22,7408
2020-01-23,12087
2020-01-24,9259
2020-01-25,7734
2020-01-26,6068
2020-01-27,6280
2020-01-28,6622
2020-01-29,5171
2020-01-30,7599
2020-01-31,7144
2020-02-01,5027
